subzone_name,subzone_code,area_km2,population_total,population_male,population_female,population_elderly_65plus,population_density,hawker_centres,parks,supermarkets,gyms,community_clubs,amenity_count,amenity_density,mrt_exits,mrt_station_count,cycling_path_km,park_connector_km,nparks_track_km,sport_facilities,green_space_area_km2,green_space_pct,abc_waters_area_km2,building_count,hdb_count,mean_height_m,max_height_m,avg_hdb_year,total_dwelling_units,dwelling_density,resale_median_price,resale_transaction_count,lst_mean_c,ndvi_mean,ndbi_mean,ghsl_height_mean,dsm_mean,dem_mean,canopy_cover_pct,canopy_loss_pct,gvi_mean,intersection_density,transit_access_score,destination_accessibility,walkability_index
TAMPINES NORTH,TMSZ01,2.56,8040,3950,4090,740,3140,1,2,1,0,0,4,1.6,0,0,4.18,1.27,1.27,0,0.4684,18.3,0.0194,220,0,21.9,48.0,,0,0,738000,408,35.4,0.3782,-0.0563,5.99,18.49,16.58,12.49,34.7,,398.8,0.6241,0.8023,-3.6912
TAMPINES EAST,TMSZ02,4.373,130980,63960,67010,20200,29952,1,1,14,2,3,21,4.8,11,2,9.21,4.98,8.67,0,0.0994,2.3,0.0229,688,0,26.0,51.0,,0,0,604166,2552,40.97,0.3227,0.0139,18.17,27.11,20.36,1.53,0.16,,686.5,1.3803,1.7338,4.8612
TAMPINES WEST,TMSZ03,3.499,79670,39150,40510,11220,22771,1,0,6,2,2,11,3.1,2,1,8.66,2.65,3.35,1,0.0,0.0,0.0,693,9,21.9,51.0,2022,657,188,635000,1477,40.77,0.2593,0.0478,17.96,23.57,20.13,6.48,9.72,,508.5,0.9381,1.2359,0.6021
SIMEI,TMSZ04,2.796,39450,19050,20400,5900,14108,0,8,1,0,1,10,3.6,4,2,3.72,3.5,5.76,0,0.017,0.6,0.0005,861,10,15.1,75.0,2011,360,129,660000,495,42.37,0.3006,0.0296,21.29,23.06,16.9,2.39,0.84,,441.0,1.323,1.3442,1.019
XILIN,TMSZ05,7.707,1760,890,880,220,228,0,2,3,0,0,5,0.6,10,2,0.0,6.44,5.6,0,0.1527,2.0,0.0371,448,0,10.7,42.0,,0,0,,0,39.77,0.435,-0.035,7.08,11.71,11.25,10.75,19.18,,194.2,1.2904,0.8822,-2.7911
