subzone_name,subzone_code,area_km2,population_total,population_male,population_female,population_elderly_65plus,population_density,hawker_centres,parks,supermarkets,gyms,community_clubs,amenity_count,amenity_density,mrt_exits,mrt_station_count,cycling_path_km,park_connector_km,building_count,hdb_count,mean_height_m,max_height_m,avg_hdb_year,total_dwelling_units,dwelling_density,resale_median_price,resale_transaction_count,lst_mean_c,ndvi_mean,ndbi_mean,ghsl_height_mean,dsm_mean,dem_mean,canopy_cover_pct,canopy_loss_pct,gvi_mean,intersection_density,transit_access_score,destination_accessibility,walkability_index
ORANGE GROVE,NTSZ01,0.338,1790,840,950,320,5288,0,0,0,0,0,0,0.0,0,0,0.0,0.0,122,0,16.3,108.0,,0,0,,0,40.25,0.4121,-0.0589,33.67,20.02,28.55,7.76,0.53,,301.3,0.8882,0.7659,-1.4408
GOODWOOD PARK,NTSZ02,0.354,1260,600,660,150,3563,0,0,0,0,0,0,0.0,0,0,0.0,0.0,132,0,10.1,27.0,,0,0,,0,38.41,0.526,-0.1059,16.07,15.83,20.57,26.57,0.76,,260.1,1.3457,1.2933,-0.4899
NEWTON CIRCUS,NTSZ03,0.215,250,140,110,20,1163,1,0,0,0,0,1,4.7,3,1,0.0,0.0,44,0,10.5,90.0,,0,0,,0,40.21,0.3695,-0.0473,18.25,10.98,19.95,16.27,5.44,,400.1,3.3485,1.9152,3.6074
CAIRNHILL,NTSZ04,0.455,3880,1830,2060,560,8535,0,0,0,0,1,1,2.2,0,0,0.0,0.0,375,0,12.0,108.0,,0,0,,0,40.46,0.3175,-0.0039,32.28,21.26,30.41,2.6,0,,440.0,1.0931,1.0412,1.7079
MONK'S HILL,NTSZ05,0.174,1030,520,510,150,5926,0,0,0,1,0,1,5.8,0,0,0.0,0.0,43,0,11.0,36.0,,0,0,,0,41.2,0.4039,-0.0231,17.21,17.88,20.47,7.07,0,,304.9,1.2718,1.2552,0.4696
ISTANA NEGARA,NTSZ06,0.547,60,0,0,0,110,0,1,0,0,0,1,1.8,0,0,0.0,0.0,38,0,9.9,18.0,,0,0,,0,37.98,0.6592,-0.1535,9.74,24.25,27.77,36.23,1.81,,106.0,0.5743,1.2295,-3.8543
